Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
158,Malachi Flynn,PG,TOR,2.7,7.2,2.5,2.9,0.8,0.1,0.9,7.5
159,Bryn Forbes,SG,MIL,3.6,7.6,1.6,0.6,0.3,0.0,0.6,10.0
160,Trent Forrest,PG,UTA,1.1,2.4,1.5,1.5,0.3,0.1,0.7,2.9
161,Evan Fournier,SF-SG,ORL,6.5,14.2,2.9,3.7,1.0,0.3,2.1,19.7
161,Evan Fournier,SG,BOS,4.8,10.8,3.3,3.1,1.3,0.6,1.2,13.0
162,De'Aaron Fox,PG,SAC,9.1,19.1,3.5,7.2,1.5,0.5,3.0,25.2
163,Robert Franks,PF,ORL,1.9,4.0,2.0,0.7,0.4,0.4,0.3,6.1
164,Tim Frazier,PG,MEM,0.6,4.0,1.6,3.2,0.4,0.2,0.8,1.6
165,Markelle Fultz,PG,ORL,5.1,13.0,3.1,5.4,1.0,0.3,2.3,12.9
166,Wenyen Gabriel,PF,NOP,1.1,2.9,2.6,0.5,0.4,0.4,0.7,3.4
167,Daniel Gafford,PF-C,CHI,1.9,2.8,3.3,0.5,0.4,1.1,0.7,4.7
167,Daniel Gafford,C,WAS,4.1,6.0,5.6,0.5,0.7,1.8,0.8,10.1
168,Danilo Gallinari,PF,ATL,4.0,9.3,4.1,1.5,0.6,0.2,0.8,13.3
169,Langston Galloway,SG,PHO,1.7,3.7,1.1,0.7,0.2,0.0,0.3,4.8
170,Darius Garland,PG,CLE,6.7,14.9,2.4,6.1,1.2,0.1,3.0,17.4
171,Marc Gasol,C,LAL,1.7,3.7,4.1,2.1,0.5,1.1,1.0,5.0
172,Rudy Gay,PF,SAS,4.2,10.0,4.8,1.4,0.7,0.6,1.0,11.4
173,Paul George,SF,LAC,8.2,17.6,6.6,5.2,1.1,0.4,3.3,23.3
174,Taj Gibson,C,NYK,2.2,3.5,5.6,0.8,0.7,1.1,0.5,5.4
175,Harry Giles,C,POR,1.1,2.6,3.5,0.8,0.2,0.3,0.5,2.8
176,Shai Gilgeous-Alexander,SG,OKC,8.2,16.1,4.7,5.9,0.8,0.7,3.0,23.7
177,Anthony Gill,PF,WAS,1.2,2.3,2.0,0.4,0.4,0.2,0.3,3.1
178,Freddie Gillespie,PF,TOR,2.2,4.2,4.9,0.5,0.7,1.0,0.6,5.6
179,Rudy Gobert,C,UTA,5.5,8.2,13.5,1.3,0.6,2.7,1.7,14.3
180,Brandon Goodwin,PG,ATL,1.8,4.7,1.5,2.0,0.4,0.0,0.8,4.9
181,Aaron Gordon,PF,ORL,5.1,11.7,6.6,4.2,0.6,0.8,2.7,14.6
181,Aaron Gordon,PF,DEN,4.1,8.2,4.7,2.2,0.7,0.6,1.2,10.2
182,Eric Gordon,SG,HOU,5.9,13.6,2.1,2.6,0.5,0.5,1.9,17.8
183,Devonte' Graham,PG,CHO,4.6,12.2,2.7,5.4,0.9,0.1,1.5,14.8
184,Jerami Grant,SF,DET,7.4,17.3,4.6,2.8,0.6,1.1,2.0,22.3
185,Danny Green,SF,PHI,3.2,7.9,3.8,1.7,1.3,0.8,1.0,9.5
